11/17/17 15:47:23:097 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | No Record found for the input fields in opm_getRecords
11/17/17 15:47:23:097 | [WARN] | 758 | ASU | OPM | IMSLib_OPMWrapper |  |  | 23877 | Failed in getting list of keys in OPMGetKeyList
11/17/17 15:47:23:097 | [WARN] | 758 | ASU | OPM | IMSLibHelper |  |  | 23877 | Failed in getting buddy groupList in getBuddyClients
11/17/17 15:47:23:097 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:097 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:23:097 | [INFO] | 758 | ASU | OPM | IMSLib_OPMWrapper |  |  | 23877 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:BuddyGroup key:0
11/17/17 15:47:23:154 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:154 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Successfully updated opm.db for fields domain:IMSLib subdomain:BuddyGroup key:0 in opm_setValueForKey
11/17/17 15:47:23:154 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:154 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:23:154 | [INFO] | 758 | ASU | OPM | IMSLib_OPMWrapper |  |  | 23877 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:426eb9f9-9989-45dd-8b7c-1bcdc957c8e5
11/17/17 15:47:23:154 | [WARN] | 758 | ASU | OPM | IMSLibHelper |  |  | 23877 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
11/17/17 15:47:23:154 | [INFO] | 758 | ASU | OPM | IMSLib |  |  | 23877 | Not duplicating the DUC entry - fetchDefaultUserGUIDForClientID failed in IMS_registerClientToGroup
11/17/17 15:47:23:154 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | Successfully registered AAM Client to Buddy group in pwa_openIMSLibSessionWithXMLParams.
11/17/17 15:47:23:157 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | Performing registeration of client to group
11/17/17 15:47:23:158 | [INFO] | 758 | ASU | OPM | IMSLib |  |  | 23877 | Performing IMS_registerClientToGroup..
11/17/17 15:47:23:158 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Performing opm_getRecords...
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | returning size of value as:40 in opm_getValueForKey
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | returning size of value as:40 in opm_getValueForKey
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:159 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
11/17/17 15:47:23:164 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:164 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | Successfully updated opm.db for fields domain:IMSLib subdomain:BuddyGroup key:0 in opm_setValueForKey
11/17/17 15:47:23:164 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:164 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:23:164 | [INFO] | 758 | ASU | OPM | IMSLib_OPMWrapper |  |  | 23877 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:426eb9f9-9989-45dd-8b7c-1bcdc957c8e5
11/17/17 15:47:23:164 | [WARN] | 758 | ASU | OPM | IMSLibHelper |  |  | 23877 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
11/17/17 15:47:23:164 | [INFO] | 758 | ASU | OPM | IMSLib |  |  | 23877 | Not duplicating the DUC entry - fetchDefaultUserGUIDForClientID failed in IMS_registerClientToGroup
11/17/17 15:47:23:164 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | Registered Client to group successfully!
11/17/17 15:47:23:199 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | Performing fetch default user for clientID...
11/17/17 15:47:23:222 | [INFO] | 758 | ASU | OPM | IMSLib |  |  | 23877 | Performing fetchDefaultUserInfoForClientId...
11/17/17 15:47:23:222 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:23:222 | [INFO] | 758 | ASU | OPM | OPM |  |  | 23877 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:23:222 | [INFO] | 758 | ASU | OPM | IMSLib_OPMWrapper |  |  | 23877 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:CreativeCloud_v4_3
11/17/17 15:47:23:222 | [WARN] | 758 | ASU | OPM | IMSLibHelper |  |  | 23877 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
11/17/17 15:47:23:222 | [INFO] | 758 | ASU | OPM | IMSLib |  |  | 23877 | Failed to get default user for clientId in fetchDefaultUserInfoForClientId...
11/17/17 15:47:23:223 | [WARN] | 758 | ASU | OPM | P7Native |  |  | 23877 | failed in IMSLib's fetchDefaultUserInfoForClientId function, in getDefaultUserForClientId
11/17/17 15:47:23:223 | [INFO] | 758 | ASU | OPM | IMSLib |  |  | 23877 | Performing releaseData...
11/17/17 15:47:23:223 | [INFO] | 758 | ASU | OPM | P7Native |  |  | 23877 | Unable to find default user for client_id: CreativeCloud_v4_3
11/17/17 15:47:25:231 | [INFO] | 770 | ASU | IMSLib | IMSLib |  |  | 24197 | Build Version - 10.0.0.22
11/17/17 15:47:25:231 | [INFO] | 770 | ASU | IMSLib | IMSLib |  |  | 24197 | Logging Level verbosity Set  to 4
11/17/17 15:47:25:231 | [INFO] | 770 | ASU | IMSLib | IMSLib |  |  | 24197 | Creating IMSLib Ex instance ...
11/17/17 15:47:25:231 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Build Version - 10.0.0.22
11/17/17 15:47:25:231 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Logging Level verbosity Set  to 4
11/17/17 15:47:25:302 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Schema version and schema compatibility version are same or greater than current

11/17/17 15:47:25:303 | [INFO] | 770 | ASU | OPM | IMSLibHelper |  |  | 24197 | OPMWrapper allocation succeeded
11/17/17 15:47:25:303 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:303 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:25:303 | [INFO] | 770 | ASU | OPM | IMSLib_OPMWrapper |  |  | 24197 | Failed in getting value for key in OPMGetValueForKey domain:OOBE subDomain:ProxyCredentials key:ProxyUsername
11/17/17 15:47:25:303 | [INFO] | 770 | ASU | OPM | IMSLibHelper |  |  | 24197 | Failed to get proxy user name from local db in getProxyCredentialsFromLocalStore
11/17/17 15:47:25:303 | [INFO] | 770 | ASU | OPM | IMSLib |  |  | 24197 | Failed get proxy credentials from local store while creating IMSLib Ex instance ...
11/17/17 15:47:25:304 | [INFO] | 770 | ASU | OPM | IMSLib |  |  | 24197 | Performing IMS_registerClientToGroup..
11/17/17 15:47:25:304 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Performing opm_getRecords...
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | returning size of value as:61 in opm_getValueForKey
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | returning size of value as:61 in opm_getValueForKey
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:305 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
11/17/17 15:47:25:324 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:324 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Successfully updated opm.db for fields domain:IMSLib subdomain:BuddyGroup key:0 in opm_setValueForKey
11/17/17 15:47:25:324 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
11/17/17 15:47:25:324 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | No Record found for the input fields in opm_getValueForKey
11/17/17 15:47:25:324 | [INFO] | 770 | ASU | OPM | IMSLib_OPMWrapper |  |  | 24197 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:426eb9f9-9989-45dd-8b7c-1bcdc957c8e5
11/17/17 15:47:25:324 | [WARN] | 770 | ASU | OPM | IMSLibHelper |  |  | 24197 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
11/17/17 15:47:25:324 | [INFO] | 770 | ASU | OPM | IMSLib |  |  | 24197 | Not duplicating the DUC entry - fetchDefaultUserGUIDForClientID failed in IMS_registerClientToGroup
11/17/17 15:47:25:329 | [INFO] | 770 | ASU | OPM | IMSLib |  |  | 24197 | Releasing IMSLib instance
11/17/17 15:47:25:329 | [INFO] | 770 | ASU | OPM | IMSLib |  |  | 24197 | IMSLib instance released ...
11/17/17 15:47:31:926 | [INFO] | 770 | ASU | IMSLib | IMSLib |  |  | 24197 | Build Version - 10.0.0.22
11/17/17 15:47:31:926 | [INFO] | 770 | ASU | IMSLib | IMSLib |  |  | 24197 | Logging Level verbosity Set  to 4
11/17/17 15:47:31:926 | [INFO] | 770 | ASU | IMSLib | IMSLib |  |  | 24197 | Creating IMSLib Ex instance ...
11/17/17 15:47:31:926 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Build Version - 10.0.0.22
11/17/17 15:47:31:927 | [INFO] | 770 | ASU | OPM | OPM |  |  | 24197 | Logging Level verbosity Set  to 4
